LawaSiteID,Indicator,Units,value_count
LAWA-103493,CHLA,mg/m3,4
LAWA-103493,ECOLI,#/100 mL,28
LAWA-103493,NH4N,mg/L,4
LAWA-103493,TN,mg/m3,4
LAWA-103493,TP,mg/m3,4
LAWA-103493,pH,-log[H+],4
arc-00098,CHLA,mg/m3,0
arc-00098,CYANOTOT,mm3/L,0
arc-00098,CYANOTOX,mm3/L,0
arc-00098,ECOLI,#/100 mL,0
arc-00098,NH4N,mg/L,0
arc-00098,Secchi,m,0
arc-00098,TN,mg/m3,0
arc-00098,TP,mg/m3,0
arc-00098,pH,-log[H+],0
arc-00099,CHLA,mg/m3,0
arc-00099,CYANOTOT,mm3/L,0
arc-00099,CYANOTOX,mm3/L,0
arc-00099,ECOLI,#/100 mL,0
arc-00099,NH4N,mg/L,0
arc-00099,Secchi,m,0
arc-00099,TN,mg/m3,0
arc-00099,TP,mg/m3,0
arc-00099,pH,-log[H+],0
arc-00100,CHLA,mg/m3,0
arc-00100,CYANOTOT,mm3/L,0
arc-00100,CYANOTOX,mm3/L,0
arc-00100,ECOLI,#/100 mL,0
arc-00100,NH4N,mg/L,0
arc-00100,Secchi,m,0
arc-00100,TN,mg/m3,0
arc-00100,TP,mg/m3,0
arc-00100,pH,-log[H+],0
arc-10002,CHLA,mg/m3,0
arc-10002,CYANOTOT,mm3/L,0
arc-10002,CYANOTOX,mm3/L,0
arc-10002,ECOLI,#/100 mL,0
arc-10002,NH4N,mg/L,0
arc-10002,Secchi,m,0
arc-10002,TN,mg/m3,0
arc-10002,TP,mg/m3,0
arc-10002,pH,-log[H+],0
ebop-00087,CHLA,mg/m3,221
ebop-00087,ECOLI,#/100 mL,20
ebop-00087,NH4N,mg/L,213
ebop-00087,Secchi,m,221
ebop-00087,TN,mg/m3,154
ebop-00087,TP,mg/m3,225
ebop-00087,pH,-log[H+],231
ebop-00088,CHLA,mg/m3,203
ebop-00088,ECOLI,#/100 mL,20
ebop-00088,NH4N,mg/L,202
ebop-00088,Secchi,m,205
ebop-00088,TN,mg/m3,139
ebop-00088,TP,mg/m3,318
ebop-00088,pH,-log[H+],211
ebop-00089,CHLA,mg/m3,216
ebop-00089,ECOLI,#/100 mL,21
ebop-00089,NH4N,mg/L,198
ebop-00089,Secchi,m,216
ebop-00089,TN,mg/m3,149
ebop-00089,TP,mg/m3,217
ebop-00089,pH,-log[H+],223
ebop-00090,CHLA,mg/m3,221
ebop-00090,ECOLI,#/100 mL,20
ebop-00090,NH4N,mg/L,220
ebop-00090,Secchi,m,221
ebop-00090,TN,mg/m3,155
ebop-00090,TP,mg/m3,225
ebop-00090,pH,-log[H+],231
ebop-00091,CHLA,mg/m3,222
ebop-00091,ECOLI,#/100 mL,21
ebop-00091,NH4N,mg/L,220
ebop-00091,Secchi,m,220
ebop-00091,TN,mg/m3,156
ebop-00091,TP,mg/m3,226
ebop-00091,pH,-log[H+],230
ebop-00092,CHLA,mg/m3,85
ebop-00092,ECOLI,#/100 mL,21
ebop-00092,NH4N,mg/L,82
ebop-00092,Secchi,m,221
ebop-00092,TN,mg/m3,85
ebop-00092,TP,mg/m3,227
ebop-00092,pH,-log[H+],92
ebop-00093,CHLA,mg/m3,221
ebop-00093,ECOLI,#/100 mL,21
ebop-00093,NH4N,mg/L,215
ebop-00093,Secchi,m,260
ebop-00093,TN,mg/m3,155
ebop-00093,TP,mg/m3,363
ebop-00093,pH,-log[H+],231
ebop-00094,CHLA,mg/m3,223
ebop-00094,ECOLI,#/100 mL,21
ebop-00094,NH4N,mg/L,216
ebop-00094,Secchi,m,222
ebop-00094,TN,mg/m3,155
ebop-00094,TP,mg/m3,366
ebop-00094,pH,-log[H+],231
ebop-00095,CHLA,mg/m3,221
ebop-00095,ECOLI,#/100 mL,21
ebop-00095,NH4N,mg/L,216
ebop-00095,Secchi,m,222
ebop-00095,TN,mg/m3,154
ebop-00095,TP,mg/m3,356
ebop-00095,pH,-log[H+],232
ebop-00096,CHLA,mg/m3,220
ebop-00096,ECOLI,#/100 mL,20
ebop-00096,NH4N,mg/L,188
ebop-00096,Secchi,m,138
ebop-00096,TN,mg/m3,155
ebop-00096,TP,mg/m3,360
ebop-00096,pH,-log[H+],229
ebop-00097,CHLA,mg/m3,84
ebop-00097,ECOLI,#/100 mL,20
ebop-00097,NH4N,mg/L,84
ebop-00097,Secchi,m,216
ebop-00097,TN,mg/m3,85
ebop-00097,TP,mg/m3,223
ebop-00097,pH,-log[H+],91
ebop-00098,CHLA,mg/m3,84
ebop-00098,ECOLI,#/100 mL,20
ebop-00098,NH4N,mg/L,86
ebop-00098,Secchi,m,217
ebop-00098,TN,mg/m3,86
ebop-00098,TP,mg/m3,224
ebop-00098,pH,-log[H+],92
ebop-00099,CHLA,mg/m3,221
ebop-00099,ECOLI,#/100 mL,20
ebop-00099,NH4N,mg/L,197
ebop-00099,Secchi,m,221
ebop-00099,TN,mg/m3,154
ebop-00099,TP,mg/m3,364
ebop-00099,pH,-log[H+],230
ebop-00100,CHLA,mg/m3,218
ebop-00100,ECOLI,#/100 mL,20
ebop-00100,NH4N,mg/L,209
ebop-00100,Secchi,m,213
ebop-00100,TN,mg/m3,154
ebop-00100,TP,mg/m3,350
ebop-00100,pH,-log[H+],226
ecan-00325,CHLA,mg/m3,222
ecan-00325,ECOLI,#/100 mL,183
ecan-00325,NH4N,mg/L,222
ecan-00325,Secchi,m,31
ecan-00325,TN,mg/m3,224
ecan-00325,TP,mg/m3,224
ecan-00325,pH,-log[H+],221
ecan-00326,CHLA,mg/m3,86
ecan-00326,NH4N,mg/L,4
ecan-00326,TN,mg/m3,85
ecan-00326,TP,mg/m3,83
ecan-00327,CHLA,mg/m3,83
ecan-00327,NH4N,mg/L,4
ecan-00327,TN,mg/m3,81
ecan-00327,TP,mg/m3,81
ecan-00328,CHLA,mg/m3,86
ecan-00328,NH4N,mg/L,4
ecan-00328,TN,mg/m3,84
ecan-00328,TP,mg/m3,84
ecan-00329,CHLA,mg/m3,85
ecan-00329,NH4N,mg/L,4
ecan-00329,TN,mg/m3,83
ecan-00329,TP,mg/m3,84
ecan-00330,CHLA,mg/m3,85
ecan-00330,NH4N,mg/L,5
ecan-00330,TN,mg/m3,85
ecan-00330,TP,mg/m3,85
ecan-00331,CHLA,mg/m3,38
ecan-00331,ECOLI,#/100 mL,70
ecan-00331,NH4N,mg/L,70
ecan-00331,TN,mg/m3,70
ecan-00331,TP,mg/m3,70
ecan-00331,pH,-log[H+],67
ecan-00332,CHLA,mg/m3,83
ecan-00332,NH4N,mg/L,5
ecan-00332,TN,mg/m3,83
ecan-00332,TP,mg/m3,83
ecan-00333,CHLA,mg/m3,85
ecan-00333,NH4N,mg/L,5
ecan-00333,TN,mg/m3,85
ecan-00333,TP,mg/m3,85
ecan-00334,CHLA,mg/m3,223
ecan-00334,CYANOTOT,mm3/L,154
ecan-00334,CYANOTOX,mm3/L,129
ecan-00334,ECOLI,#/100 mL,181
ecan-00334,NH4N,mg/L,222
ecan-00334,Secchi,m,216
ecan-00334,TN,mg/m3,224
ecan-00334,TP,mg/m3,224
ecan-00334,pH,-log[H+],97
ecan-00335,CHLA,mg/m3,86
ecan-00335,NH4N,mg/L,5
ecan-00335,TN,mg/m3,85
ecan-00335,TP,mg/m3,85
ecan-00336,CHLA,mg/m3,86
ecan-00336,NH4N,mg/L,4
ecan-00336,TN,mg/m3,84
ecan-00336,TP,mg/m3,83
ecan-00337,CHLA,mg/m3,86
ecan-00337,NH4N,mg/L,4
ecan-00337,TN,mg/m3,85
ecan-00337,TP,mg/m3,85
ecan-00338,CHLA,mg/m3,87
ecan-00338,NH4N,mg/L,4
ecan-00338,TN,mg/m3,86
ecan-00338,TP,mg/m3,86
ecan-00339,CHLA,mg/m3,86
ecan-00339,NH4N,mg/L,4
ecan-00339,TN,mg/m3,84
ecan-00339,TP,mg/m3,85
ecan-00340,CHLA,mg/m3,86
ecan-00340,NH4N,mg/L,4
ecan-00340,TN,mg/m3,85
ecan-00340,TP,mg/m3,85
ecan-00341,CHLA,mg/m3,85
ecan-00341,NH4N,mg/L,4
ecan-00341,TN,mg/m3,84
ecan-00341,TP,mg/m3,84
ecan-00342,CHLA,mg/m3,86
ecan-00342,NH4N,mg/L,4
ecan-00342,TN,mg/m3,85
ecan-00342,TP,mg/m3,85
ecan-00343,CHLA,mg/m3,86
ecan-00343,NH4N,mg/L,13
ecan-00343,TN,mg/m3,85
ecan-00343,TP,mg/m3,85
ecan-00344,CHLA,mg/m3,86
ecan-00344,NH4N,mg/L,12
ecan-00344,TN,mg/m3,85
ecan-00344,TP,mg/m3,85
ecan-00345,CHLA,mg/m3,86
ecan-00345,NH4N,mg/L,4
ecan-00345,TN,mg/m3,84
ecan-00345,TP,mg/m3,85
ecan-00346,CHLA,mg/m3,81
ecan-00346,NH4N,mg/L,4
ecan-00346,TN,mg/m3,80
ecan-00346,TP,mg/m3,80
ecan-00347,CHLA,mg/m3,299
ecan-00347,CYANOTOT,mm3/L,136
ecan-00347,CYANOTOX,mm3/L,112
ecan-00347,ECOLI,#/100 mL,201
ecan-00347,NH4N,mg/L,303
ecan-00347,TN,mg/m3,304
ecan-00347,TP,mg/m3,304
ecan-00347,pH,-log[H+],299
ecan-00348,CHLA,mg/m3,225
ecan-00348,ECOLI,#/100 mL,170
ecan-00348,NH4N,mg/L,226
ecan-00348,TN,mg/m3,224
ecan-00348,TP,mg/m3,226
ecan-00348,pH,-log[H+],221
ecan-00349,CHLA,mg/m3,65
ecan-00349,TN,mg/m3,65
ecan-00349,TP,mg/m3,65
ecan-00351,CHLA,mg/m3,51
ecan-00351,NH4N,mg/L,5
ecan-00351,TN,mg/m3,51
ecan-00351,TP,mg/m3,51
ecan-00354,CHLA,mg/m3,81
ecan-00354,NH4N,mg/L,4
ecan-00354,TN,mg/m3,79
ecan-00354,TP,mg/m3,77
ecan-00355,CHLA,mg/m3,81
ecan-00355,NH4N,mg/L,4
ecan-00355,TN,mg/m3,80
ecan-00355,TP,mg/m3,80
ecan-00357,CHLA,mg/m3,64
ecan-00357,NH4N,mg/L,9
ecan-00357,TN,mg/m3,63
ecan-00357,TP,mg/m3,63
ecan-00358,CHLA,mg/m3,63
ecan-00358,NH4N,mg/L,9
ecan-00358,TN,mg/m3,63
ecan-00358,TP,mg/m3,63
ecan-00359,CHLA,mg/m3,64
ecan-00359,NH4N,mg/L,9
ecan-00359,TN,mg/m3,63
ecan-00359,TP,mg/m3,63
ecan-00362,CHLA,mg/m3,31
ecan-00362,NH4N,mg/L,10
ecan-00362,TN,mg/m3,30
ecan-00362,TP,mg/m3,30
ecan-00363,CHLA,mg/m3,62
ecan-00363,CYANOTOT,mm3/L,32
ecan-00363,CYANOTOX,mm3/L,41
ecan-00363,ECOLI,#/100 mL,62
ecan-00363,NH4N,mg/L,62
ecan-00363,TN,mg/m3,62
ecan-00363,TP,mg/m3,62
ecan-00363,pH,-log[H+],53
ecan-00364,CHLA,mg/m3,25
ecan-00364,TN,mg/m3,24
ecan-00364,TP,mg/m3,24
ecan-00367,CHLA,mg/m3,65
ecan-00367,TN,mg/m3,65
ecan-00367,TP,mg/m3,65
ecan-00368,CHLA,mg/m3,64
ecan-00368,TN,mg/m3,64
ecan-00368,TP,mg/m3,64
ecan-00369,CHLA,mg/m3,223
ecan-00369,CYANOTOT,mm3/L,153
ecan-00369,CYANOTOX,mm3/L,143
ecan-00369,ECOLI,#/100 mL,182
ecan-00369,NH4N,mg/L,220
ecan-00369,Secchi,m,212
ecan-00369,TN,mg/m3,223
ecan-00369,TP,mg/m3,223
ecan-00369,pH,-log[H+],97
ecan-00370,CHLA,mg/m3,223
ecan-00370,CYANOTOT,mm3/L,151
ecan-00370,CYANOTOX,mm3/L,122
ecan-00370,ECOLI,#/100 mL,181
ecan-00370,NH4N,mg/L,222
ecan-00370,Secchi,m,217
ecan-00370,TN,mg/m3,224
ecan-00370,TP,mg/m3,224
ecan-00370,pH,-log[H+],97
ecan-00371,CHLA,mg/m3,223
ecan-00371,CYANOTOT,mm3/L,149
ecan-00371,CYANOTOX,mm3/L,127
ecan-00371,ECOLI,#/100 mL,182
ecan-00371,NH4N,mg/L,222
ecan-00371,Secchi,m,217
ecan-00371,TN,mg/m3,224
ecan-00371,TP,mg/m3,224
ecan-00371,pH,-log[H+],96
ecan-00372,CHLA,mg/m3,164
ecan-00372,CYANOTOT,mm3/L,138
ecan-00372,CYANOTOX,mm3/L,128
ecan-00372,ECOLI,#/100 mL,164
ecan-00372,NH4N,mg/L,162
ecan-00372,Secchi,m,125
ecan-00372,TN,mg/m3,164
ecan-00372,TP,mg/m3,164
ecan-00372,pH,-log[H+],93
es-000142,CHLA,mg/m3,0
es-000142,CYANOTOT,mm3/L,0
es-000142,ECOLI,#/100 mL,0
es-000142,NH4N,mg/L,0
es-000142,Secchi,m,0
es-000142,TN,mg/m3,0
es-000142,TP,mg/m3,0
es-000142,pH,-log[H+],0
es-000157,CHLA,mg/m3,0
es-000157,ECOLI,#/100 mL,0
es-000157,NH4N,mg/L,0
es-000157,Secchi,m,0
es-000157,TN,mg/m3,0
es-000157,TP,mg/m3,0
es-000157,pH,-log[H+],0
es-000158,CHLA,mg/m3,0
es-000158,ECOLI,#/100 mL,0
es-000158,NH4N,mg/L,0
es-000158,Secchi,m,0
es-000158,TN,mg/m3,0
es-000158,TP,mg/m3,0
es-000158,pH,-log[H+],0
es-000159,CHLA,mg/m3,0
es-000159,ECOLI,#/100 mL,0
es-000159,NH4N,mg/L,0
es-000159,Secchi,m,0
es-000159,TN,mg/m3,0
es-000159,TP,mg/m3,0
es-000159,pH,-log[H+],0
es-00144,CHLA,mg/m3,0
es-00144,CYANOTOT,mm3/L,0
es-00144,ECOLI,#/100 mL,0
es-00144,NH4N,mg/L,0
es-00144,Secchi,m,0
es-00144,TN,mg/m3,0
es-00144,TP,mg/m3,0
es-00144,pH,-log[H+],0
ew-00142,CHLA,mg/m3,142
ew-00142,CYANOTOT,mm3/L,111
ew-00142,ECOLI,#/100 mL,58
ew-00142,NH4N,mg/L,142
ew-00142,Secchi,m,136
ew-00142,TN,mg/m3,142
ew-00142,TP,mg/m3,142
ew-00142,pH,-log[H+],144
ew-00143,CHLA,mg/m3,176
ew-00143,CYANOTOT,mm3/L,25
ew-00143,ECOLI,#/100 mL,54
ew-00143,NH4N,mg/L,176
ew-00143,Secchi,m,164
ew-00143,TN,mg/m3,176
ew-00143,TP,mg/m3,176
ew-00143,pH,-log[H+],176
ew-00144,CHLA,mg/m3,90
ew-00144,CYANOTOT,mm3/L,35
ew-00144,ECOLI,#/100 mL,49
ew-00144,NH4N,mg/L,90
ew-00144,Secchi,m,78
ew-00144,TN,mg/m3,90
ew-00144,TP,mg/m3,90
ew-00144,pH,-log[H+],90
ew-00145,CHLA,mg/m3,184
ew-00145,CYANOTOT,mm3/L,37
ew-00145,ECOLI,#/100 mL,57
ew-00145,NH4N,mg/L,184
ew-00145,Secchi,m,167
ew-00145,TN,mg/m3,184
ew-00145,TP,mg/m3,184
ew-00145,pH,-log[H+],184
ew-00146,CHLA,mg/m3,152
ew-00146,CYANOTOT,mm3/L,104
ew-00146,ECOLI,#/100 mL,58
ew-00146,NH4N,mg/L,153
ew-00146,Secchi,m,138
ew-00146,TN,mg/m3,153
ew-00146,TP,mg/m3,153
ew-00146,pH,-log[H+],154
ew-00147,CHLA,mg/m3,142
ew-00147,CYANOTOT,mm3/L,119
ew-00147,ECOLI,#/100 mL,56
ew-00147,NH4N,mg/L,143
ew-00147,Secchi,m,130
ew-00147,TN,mg/m3,143
ew-00147,TP,mg/m3,143
ew-00147,pH,-log[H+],145
ew-00149,CHLA,mg/m3,181
ew-00149,CYANOTOT,mm3/L,37
ew-00149,ECOLI,#/100 mL,57
ew-00149,NH4N,mg/L,181
ew-00149,Secchi,m,163
ew-00149,TN,mg/m3,181
ew-00149,TP,mg/m3,181
ew-00149,pH,-log[H+],181
ew-00150,CHLA,mg/m3,95
ew-00150,CYANOTOT,mm3/L,34
ew-00150,ECOLI,#/100 mL,56
ew-00150,NH4N,mg/L,95
ew-00150,Secchi,m,80
ew-00150,TN,mg/m3,95
ew-00150,TP,mg/m3,95
ew-00150,pH,-log[H+],95
ew-00151,CHLA,mg/m3,136
ew-00151,CYANOTOT,mm3/L,118
ew-00151,ECOLI,#/100 mL,56
ew-00151,NH4N,mg/L,136
ew-00151,Secchi,m,125
ew-00151,TN,mg/m3,136
ew-00151,TP,mg/m3,136
ew-00151,pH,-log[H+],138
ew-00164,CHLA,mg/m3,112
ew-00164,CYANOTOT,mm3/L,16
ew-00164,ECOLI,#/100 mL,30
ew-00164,NH4N,mg/L,112
ew-00164,Secchi,m,89
ew-00164,TN,mg/m3,112
ew-00164,TP,mg/m3,112
ew-00164,pH,-log[H+],112
gw-00257,CHLA,mg/m3,151
gw-00257,ECOLI,#/100 mL,27
gw-00257,NH4N,mg/L,151
gw-00257,Secchi,m,136
gw-00257,TN,mg/m3,151
gw-00257,TP,mg/m3,151
gw-00257,pH,-log[H+],151
gw-00258,CHLA,mg/m3,136
gw-00258,ECOLI,#/100 mL,25
gw-00258,NH4N,mg/L,136
gw-00258,Secchi,m,132
gw-00258,TN,mg/m3,136
gw-00258,TP,mg/m3,136
gw-00258,pH,-log[H+],136
gw-00262,CHLA,mg/m3,75
gw-00262,NH4N,mg/L,76
gw-00262,Secchi,m,75
gw-00262,TN,mg/m3,76
gw-00262,TP,mg/m3,76
gw-00262,pH,-log[H+],76
gw-00263,CHLA,mg/m3,97
gw-00263,NH4N,mg/L,97
gw-00263,Secchi,m,93
gw-00263,TN,mg/m3,97
gw-00263,TP,mg/m3,97
gw-00263,pH,-log[H+],97
hbrc-00170,CHLA,mg/m3,110
hbrc-00170,CYANOTOT,mm3/L,15
hbrc-00170,ECOLI,#/100 mL,89
hbrc-00170,NH4N,mg/L,103
hbrc-00170,Secchi,m,93
hbrc-00170,TN,mg/m3,103
hbrc-00170,TP,mg/m3,103
hbrc-00170,pH,-log[H+],103
hbrc-00171,CHLA,mg/m3,120
hbrc-00171,CYANOTOT,mm3/L,23
hbrc-00171,ECOLI,#/100 mL,110
hbrc-00171,NH4N,mg/L,120
hbrc-00171,Secchi,m,104
hbrc-00171,TN,mg/m3,120
hbrc-00171,TP,mg/m3,120
hbrc-00171,pH,-log[H+],120
hbrc-00176,CHLA,mg/m3,194
hbrc-00176,CYANOTOT,mm3/L,21
hbrc-00176,ECOLI,#/100 mL,155
hbrc-00176,NH4N,mg/L,172
hbrc-00176,Secchi,m,149
hbrc-00176,TN,mg/m3,172
hbrc-00176,TP,mg/m3,172
hbrc-00176,pH,-log[H+],197
hrc-00329,CHLA,mg/m3,32
hrc-00329,CYANOTOT,mm3/L,20
hrc-00329,CYANOTOX,mm3/L,20
hrc-00329,ECOLI,#/100 mL,29
hrc-00329,NH4N,mg/L,32
hrc-00329,TN,mg/m3,32
hrc-00329,TP,mg/m3,32
hrc-00329,pH,-log[H+],20
hrc-00331,CHLA,mg/m3,59
hrc-00331,CYANOTOT,mm3/L,35
hrc-00331,CYANOTOX,mm3/L,35
hrc-00331,ECOLI,#/100 mL,59
hrc-00331,NH4N,mg/L,59
hrc-00331,Secchi,m,53
hrc-00331,TN,mg/m3,59
hrc-00331,TP,mg/m3,59
hrc-00331,pH,-log[H+],36
hrc-00332,CHLA,mg/m3,41
hrc-00332,CYANOTOT,mm3/L,20
hrc-00332,CYANOTOX,mm3/L,20
hrc-00332,ECOLI,#/100 mL,37
hrc-00332,NH4N,mg/L,41
hrc-00332,TN,mg/m3,41
hrc-00332,TP,mg/m3,41
hrc-00332,pH,-log[H+],20
hrc-00333,CHLA,mg/m3,89
hrc-00333,CYANOTOT,mm3/L,30
hrc-00333,CYANOTOX,mm3/L,30
hrc-00333,ECOLI,#/100 mL,88
hrc-00333,NH4N,mg/L,89
hrc-00333,Secchi,m,66
hrc-00333,TN,mg/m3,89
hrc-00333,TP,mg/m3,89
hrc-00333,pH,-log[H+],30
hrc-00335,CHLA,mg/m3,57
hrc-00335,CYANOTOT,mm3/L,37
hrc-00335,CYANOTOX,mm3/L,37
hrc-00335,ECOLI,#/100 mL,54
hrc-00335,NH4N,mg/L,56
hrc-00335,Secchi,m,49
hrc-00335,TN,mg/m3,57
hrc-00335,TP,mg/m3,57
hrc-00335,pH,-log[H+],39
hrc-00337,CHLA,mg/m3,58
hrc-00337,CYANOTOT,mm3/L,38
hrc-00337,CYANOTOX,mm3/L,38
hrc-00337,ECOLI,#/100 mL,58
hrc-00337,NH4N,mg/L,58
hrc-00337,Secchi,m,51
hrc-00337,TN,mg/m3,58
hrc-00337,TP,mg/m3,58
hrc-00337,pH,-log[H+],38
hrc-00339,CHLA,mg/m3,35
hrc-00339,CYANOTOT,mm3/L,17
hrc-00339,CYANOTOX,mm3/L,17
hrc-00339,ECOLI,#/100 mL,33
hrc-00339,NH4N,mg/L,36
hrc-00339,TN,mg/m3,36
hrc-00339,TP,mg/m3,36
hrc-00339,pH,-log[H+],20
hrc-00341,CHLA,mg/m3,39
hrc-00341,CYANOTOT,mm3/L,16
hrc-00341,CYANOTOX,mm3/L,16
hrc-00341,ECOLI,#/100 mL,36
hrc-00341,NH4N,mg/L,38
hrc-00341,TN,mg/m3,39
hrc-00341,TP,mg/m3,39
hrc-00341,pH,-log[H+],20
hrc-00342,CHLA,mg/m3,38
hrc-00342,CYANOTOT,mm3/L,16
hrc-00342,CYANOTOX,mm3/L,16
hrc-00342,ECOLI,#/100 mL,35
hrc-00342,NH4N,mg/L,38
hrc-00342,TN,mg/m3,38
hrc-00342,TP,mg/m3,38
hrc-00342,pH,-log[H+],20
lawa-100207,CHLA,mg/m3,0
lawa-100207,ECOLI,#/100 mL,0
lawa-100207,NH4N,mg/L,0
lawa-100207,Secchi,m,0
lawa-100207,TN,mg/m3,0
lawa-100207,TP,mg/m3,0
lawa-100207,pH,-log[H+],0
lawa-100208,CHLA,mg/m3,0
lawa-100208,CYANOTOT,mm3/L,0
lawa-100208,ECOLI,#/100 mL,0
lawa-100208,NH4N,mg/L,0
lawa-100208,Secchi,m,0
lawa-100208,TN,mg/m3,0
lawa-100208,TP,mg/m3,0
lawa-100208,pH,-log[H+],0
lawa-100209,CHLA,mg/m3,0
lawa-100209,ECOLI,#/100 mL,0
lawa-100209,NH4N,mg/L,0
lawa-100209,Secchi,m,0
lawa-100209,TN,mg/m3,0
lawa-100209,TP,mg/m3,0
lawa-100209,pH,-log[H+],0
lawa-100210,CHLA,mg/m3,0
lawa-100210,CYANOTOT,mm3/L,0
lawa-100210,ECOLI,#/100 mL,0
lawa-100210,NH4N,mg/L,0
lawa-100210,Secchi,m,0
lawa-100210,TN,mg/m3,0
lawa-100210,TP,mg/m3,0
lawa-100210,pH,-log[H+],0
lawa-100211,CHLA,mg/m3,0
lawa-100211,CYANOTOT,mm3/L,0
lawa-100211,NH4N,mg/L,0
lawa-100211,Secchi,m,0
lawa-100211,TN,mg/m3,0
lawa-100211,TP,mg/m3,0
lawa-100211,pH,-log[H+],0
lawa-100213,CHLA,mg/m3,0
lawa-100213,NH4N,mg/L,0
lawa-100213,Secchi,m,0
lawa-100213,TN,mg/m3,0
lawa-100213,TP,mg/m3,0
lawa-100213,pH,-log[H+],0
lawa-100215,CHLA,mg/m3,0
lawa-100215,ECOLI,#/100 mL,0
lawa-100215,NH4N,mg/L,0
lawa-100215,Secchi,m,0
lawa-100215,TN,mg/m3,0
lawa-100215,TP,mg/m3,0
lawa-100215,pH,-log[H+],0
lawa-100243,CHLA,mg/m3,72
lawa-100243,CYANOTOT,mm3/L,22
lawa-100243,ECOLI,#/100 mL,46
lawa-100243,NH4N,mg/L,70
lawa-100243,Secchi,m,49
lawa-100243,TN,mg/m3,73
lawa-100243,TP,mg/m3,73
lawa-100243,pH,-log[H+],88
lawa-100250,CHLA,mg/m3,38
lawa-100250,CYANOTOT,mm3/L,20
lawa-100250,CYANOTOX,mm3/L,20
lawa-100250,ECOLI,#/100 mL,35
lawa-100250,NH4N,mg/L,38
lawa-100250,TN,mg/m3,38
lawa-100250,TP,mg/m3,38
lawa-100250,pH,-log[H+],20
lawa-100263,CHLA,mg/m3,0
lawa-100263,NH4N,mg/L,0
lawa-100263,Secchi,m,0
lawa-100263,TN,mg/m3,0
lawa-100263,TP,mg/m3,0
lawa-100263,pH,-log[H+],0
lawa-100264,CHLA,mg/m3,0
lawa-100264,NH4N,mg/L,0
lawa-100264,Secchi,m,0
lawa-100264,TN,mg/m3,0
lawa-100264,TP,mg/m3,0
